clip,frame,t_sec,people,team_blue,team_red,goalkeepers
17,26,2.6,17,9,8,0
17,27,2.7,17,9,8,0
17,28,2.8,17,9,8,0
17,29,2.9,17,9,8,0
17,30,3.0,17,9,8,0
17,31,3.1,17,9,8,0
17,32,3.2,17,9,8,0
17,33,3.3,17,9,8,0
17,34,3.4,16,9,7,0
17,35,3.5,16,9,7,0
17,36,3.6,16,9,7,0
17,37,3.7,17,9,8,0
17,38,3.8,17,9,8,0
17,39,3.9,17,9,8,0
17,40,4.0,17,9,8,0
17,41,4.1,17,9,8,0
17,42,4.2,17,9,8,0
17,43,4.3,17,9,8,0
17,44,4.4,17,9,8,0
17,45,4.5,15,8,7,0
17,46,4.6,14,8,6,0
17,47,4.7,13,7,6,0
17,48,4.8,13,7,6,0
17,49,4.9,13,7,6,0
18,0,0.0,14,7,7,0
18,1,0.1,13,7,6,0
18,2,0.2,13,7,6,0
18,3,0.3,13,7,6,0
18,4,0.4,14,7,7,0
18,5,0.5,14,7,7,0
18,6,0.6,14,7,7,0
18,7,0.7,14,7,7,0
18,8,0.8,13,6,7,0
18,9,0.9,14,7,7,0
18,10,1.0,14,7,7,0
18,11,1.1,14,7,7,0
18,12,1.2,15,7,8,0
18,13,1.3,15,7,8,0
